StationID,Lat,Lon,Rainfall_mm
26067,-37.96,140.77,94.0
26075,-37.14,140.95,24.8
26091,-37.29,140.83,76.2
26095,-36.97,139.72,52.8
26099,-36.98,140.73,60.2
26100,-36.65,140.52,66.6
26105,-37.18,139.81,78.6
26107,-36.44,140.34,47.0
26109,-37.38,139.95,116.4
27015,-12.45,142.64,1.2
27031,-10.9,142.38,3.0
27045,-12.68,141.92,0.0
27054,-10.05,143.07,6.2
27058,-10.58,142.29,2.4
27072,-12.09,142.56,0.0
27073,-13.76,143.12,0.8
27075,-12.62,142.09,0.0
28004,-16.0,144.08,0.4
28008,-12.79,143.3,16.6
29016,-18.85,142.57,0.0
29034,-21.27,141.29,0.6
29038,-15.48,141.75,0.0
29058,-20.67,141.72,0.8
29063,-17.69,141.07,0.0
29077,-17.75,139.54,0.0
29127,-20.68,139.49,1.6
29139,-17.11,139.6,0.0
29141,-20.67,140.51,0.2
29166,-18.97,138.8,0.0
29167,-18.76,138.71,0.0
29181,-20.12,139.73,0.0
29182,-16.66,139.17,0.6
30022,-20.82,144.23,3.2
30124,-18.3,143.53,0.0
30127,-20.99,144.64,5.0
30130,-19.89,145.61,2.0
30161,-20.7,143.11,1.0
31011,-16.87,145.75,14.4
31036,-16.82,145.64,22.9
31037,-16.38,145.56,1.4
31049,-17.09,145.79,17.0
31062,-16.39,145.35,8.4
31069,-17.67,145.24,1.2
31104,-17.16,145.88,26.0
31108,-17.13,145.43,24.3
31180,-16.53,145.13,7.0
31181,-17.55,145.72,58.0
31182,-17.59,145.6,68.0
31183,-17.36,145.59,26.0
31184,-17.44,145.51,29.0
31185,-17.52,145.61,46.0
31186,-17.68,145.66,43.0
31187,-17.47,145.73,83.0
31188,-17.0,145.43,15.0
31191,-18.15,145.48,5.0
31196,-17.7,145.15,0.0
31197,-18.04,144.89,3.0
31198,-17.38,145.38,0.0
31200,-17.59,145.53,34.0
31205,-16.98,145.67,19.0
31209,-15.45,145.19,3.2
31210,-17.07,145.43,16.8
31213,-14.97,145.31,25.8
31217,-17.26,145.47,37.0
31222,-16.95,145.75,15.4
32020,-17.56,145.96,70.0
32032,-18.59,146.25,58.0
32033,-17.46,145.88,69.2
